D(km)	T(K)
100.823	1585.335
107.684	1586.556
112.22	1589.45
123.141	1593.565
134.539	1597.161
145.461	1601.276
156.858	1604.873
168.255	1608.987
179.177	1613.102
190.574	1616.698
201.496	1620.296
212.893	1624.41
223.815	1628.525
235.213	1632.122
246.609	1636.236
257.532	1639.833
268.929	1643.947
279.851	1647.545
291.248	1651.659
302.17	1655.256
313.567	1659.371
324.489	1663.486
335.886	1667.082
347.283	1671.196
358.205	1674.794
369.602	1678.908
381	1682.504
391.922	1686.619
402.844	1690.217
410.434	1699.518
415.169	1711.415
419.905	1723.313
424.642	1734.692
429.853	1746.588
440.298	1752.258
451.219	1756.373
462.14	1761.006
473.537	1765.12
484.458	1769.753
495.855	1773.867
506.776	1778.5
517.222	1783.135
524.335	1793.473
530.497	1804.848
536.66	1815.707
545.201	1823.452
555.648	1827.569
566.569	1832.202
577.017	1835.8
587.463	1839.917
598.385	1844.032
608.831	1848.666
619.277	1853.3
630.199	1856.898
641.12	1861.531
651.567	1865.647

