node#	P(bar)	T(K)	Gt	Ring	ca-pv	Pv	per	CF	wus	Ppv	
1	238033	1500	16.3257	62.2052	4.52527	16.9438	0	0	0	0	
2	246220	1500	15.6131	30.297	4.80542	39.8073	9.47712	0	0	0	
3	254433	1500	13.845	0	5.15554	62.314	17.8549	0.308973	0.521475	0	
4	262700	1500	7.96561	0	5.58968	66.4844	17.3986	2.01512	0.546537	0	
5	270960	1500	0	0	6.19299	72.2344	16.7604	4.13394	0.678227	0	
6	279273	1500	0	0	6.19295	72.242	16.7484	4.14349	0.673173	0	
7	287587	1500	0	0	6.19289	72.2506	16.7376	4.15121	0.667711	0	
8	295900	1500	0	0	6.19282	72.2564	16.7256	4.16247	0.662712	0	
9	304213	1500	0	0	6.19274	72.2644	16.7154	4.17044	0.65703	0	
10	312600	1500	0	0	6.19265	72.2716	16.7052	4.1793	0.651275	0	
11	320900	1500	0	0	6.19255	72.2782	16.6954	4.18843	0.645467	0	
12	329300	1500	0	0	6.19244	72.285	16.6859	4.19729	0.63934	0	
13	337700	1500	0	0	6.19233	72.2901	16.676	4.20824	0.633351	0	
14	346200	1500	0	0	6.19221	72.2969	16.6675	4.21674	0.626643	0	
15	354600	1500	0	0	6.19208	72.3022	16.6588	4.22679	0.620054	0	
16	363093	1500	0	0	6.19194	72.3074	16.6504	4.23708	0.613165	0	
17	371500	1500	0	0	6.1918	72.3129	16.6429	4.24646	0.605956	0	
18	380000	1500	0	0	6.19166	72.3178	16.6354	4.2567	0.598519	0	
19	388553	1500	0	0	6.1915	72.3227	16.6284	4.26675	0.590706	0	
20	397100	1500	0	0	6.19134	72.3273	16.6217	4.27701	0.582636	0	
21	405627	1500	0	0	6.19118	72.3318	16.6156	4.2871	0.574251	0	
22	414200	1500	0	0	6.19101	72.3366	16.6102	4.29674	0.565417	0	
23	422800	1500	0	0	6.19083	72.3397	16.6042	4.30874	0.556603	0	
24	431387	1500	0	0	6.19066	72.3444	16.5998	4.31815	0.547039	0	
25	440073	1500	0	0	6.19047	72.3486	16.5955	4.3283	0.537111	0	
26	448660	1500	0	0	6.19029	72.352	16.5914	4.33922	0.527077	0	
27	457347	1500	0	0	6.19009	72.3555	16.5878	4.35013	0.516527	0	
28	465967	1500	0	0	6.1899	72.3588	16.5847	4.36099	0.505682	0	
29	474740	1500	0	0	6.1897	72.3618	16.5819	4.37235	0.494293	0	
30	483413	1500	0	0	6.1895	72.3672	16.5811	4.38015	0.482075	0	
31	492187	1500	0	0	6.1893	72.3692	16.5788	4.39268	0.470045	0	
32	500880	1500	0	0	6.18909	72.3709	16.577	4.40527	0.457733	0	
