node#	P(bar)	T(K)	Cpx	Gt	C2/c	Wad	st	Ring	ca-pv	Aki	
1	138225	1500	13.9268	20.7923	4.90662	60.3742	0	0	0	0	
2	140075	1500	13.6137	21.9087	4.06752	60.4101	0	0	0	0	
3	141950	1500	13.252	23.2778	3.01689	60.4533	0	0	0	0	
4	143850	1500	12.8299	24.9701	1.69428	60.5058	0	0	0	0	
5	145725	1500	12.3365	27.0332	0.06146	60.5688	0	0	0	0	
6	147575	1500	11.7249	27.6828	0	60.5923	0	0	0	0	
7	149450	1500	11.0999	28.2859	0	60.6142	0	0	0	0	
8	151350	1500	10.4634	28.9003	0	60.6364	0	0	0	0	
9	153250	1500	9.81707	29.5243	0	60.6586	0	0	0	0	
10	155150	1500	9.15737	30.1616	0	60.681	0	0	0	0	
11	157050	1500	8.47789	30.8181	0	60.704	0	0	0	0	
12	158950	1500	7.77615	31.4963	0	60.7276	0	0	0	0	
13	160850	1500	7.0443	32.2037	0	60.752	0	0	0	0	
14	162750	1500	6.2725	32.95	0	60.7775	0	0	0	0	
15	164650	1500	5.50558	33.7048	0	58.9923	0	1.7973	0	0	
16	166550	1500	4.90648	34.382	0	45.8479	0	14.8636	0	0	
17	168450	1500	4.27525	35.1183	0	29.4196	0	31.1868	0	0	
18	170350	1500	3.61435	35.9243	0	8.20738	0	52.2539	0	0	
19	172275	1500	2.69095	36.8822	0	0	0	60.4269	0	0	
20	174225	1500	1.6046	37.9316	0	0	0	60.4638	0	0	
21	176175	1500	0.481111	39.0164	0	0	0	60.5025	0	0	
22	178125	1500	0	37.7857	0	0	0.438267	61.7761	0	0	
23	180050	1500	0	36.0065	0	0	0.898263	63.0952	0	0	
24	181950	1500	0	34.4363	0	0	1.30446	64.2593	0	0	
25	183875	1500	0	33.0069	0	0	1.67438	65.3187	0	0	
26	185825	1500	0	31.7038	0	0	2.01184	66.2844	0	0	
27	187775	1500	0	29.9288	0	0	2.38733	67.3839	0.299979	0	
28	189725	1500	0	27.9005	0	0	2.76354	68.5045	0.831468	0	
29	191675	1500	0	26.2512	0	0	3.06758	69.4099	1.27123	0	
30	193625	1500	0	24.8931	0	0	3.31605	70.1499	1.64099	0	
31	195600	1500	0	23.7512	0	0	3.52304	70.7662	1.95955	0	
32	197600	1500	0	22.7827	0	0	3.69669	71.2834	2.23723	0	
33	199575	1500	0	21.9746	0	0	3.83978	71.7096	2.47603	0	
34	201525	1500	0	21.2942	0	0	3.95864	72.0636	2.68355	0	
35	203500	1500	0	20.7004	0	0	4.06081	72.368	2.87074	0	
36	205500	1500	0	20.1804	0	0	4.14883	72.6303	3.04048	0	
37	207475	1500	0	19.7333	0	0	4.22317	72.8518	3.19169	0	
38	209425	1500	0	19.3451	0	0	4.2865	73.0407	3.32774	0	
39	211400	1500	0	18.9982	0	0	4.34197	73.206	3.45376	0	
40	213400	1500	0	18.6875	0	0	4.39061	73.351	3.57089	0	
41	215400	1500	0	18.4108	0	0	4.43293	73.4772	3.67908	0	
42	217400	1500	0	18.1643	0	0	4.46976	73.5868	3.77909	0	
43	219400	1500	0	17.783	0	0	3.34728	70.5693	3.89239	4.40796	
44	221400	1500	0	17.0861	0	0	0	61.5532	4.03871	17.322	
45	223400	1500	0	16.8193	0	0	0	61.565	4.117	17.4987	
46	225400	1500	0	16.576	0	0	0	61.5757	4.18998	17.6584	
47	227400	1500	0	16.3516	0	0	0	61.5853	4.25839	17.8048	
48	229400	1500	0	16.1425	0	0	0	61.5942	4.32277	17.9406	
49	231375	1500	0	15.9498	0	0	0	61.6022	4.38273	18.0653	
50	233325	1500	0	15.7704	0	0	0	61.6095	4.43874	18.1814	
