|6.6.6
karato2011pyrolite_2.tab                                                                            
           1
node #  
   1.0000000000000000     
   1.0000000000000000     
          56
          12
node#          P(bar)         T(K)           O              Cpx            Opx            Gt             C2/c           Wad            Ring           ca-pv          Pv            
  1.00000        31471.6        1585.34        61.2594        22.6182        5.91128        10.2111                 NaN            NaN            NaN            NaN            NaN
  2.00000        33735.7        1586.56        61.2770        22.8191        5.30964        10.5942                 NaN            NaN            NaN            NaN            NaN
  3.00000        35232.6        1589.45        61.2858        22.9649        4.96302        10.7863                 NaN            NaN            NaN            NaN            NaN
  4.00000        38867.9        1593.57        61.3019        23.1829        4.36073        11.1545                 NaN            NaN            NaN            NaN            NaN
  5.00000        42697.9        1597.16        61.3130        23.2942        3.96135        11.4314                 NaN            NaN            NaN            NaN            NaN
  6.00000        46302.1        1601.28        61.3203        23.3215        3.72976        11.6285                 NaN            NaN            NaN            NaN            NaN
  7.00000        50131.7        1604.87        61.3258        23.2726        3.60374        11.7979                 NaN            NaN            NaN            NaN            NaN
  8.00000        53924.2        1608.99        61.3301        23.1849        3.54466        11.9404                 NaN            NaN            NaN            NaN            NaN
  9.00000        57528.4        1613.10        61.3333        23.0643        3.53983        12.0626                 NaN            NaN            NaN            NaN            NaN
  10.0000        61295.2        1616.70        61.3362        22.8936        3.58655        12.1836                 NaN            NaN            NaN            NaN            NaN
  11.0000        64993.7        1620.30        61.3388        22.7070        3.65323        12.3010                 NaN            NaN            NaN            NaN            NaN
  12.0000        68754.7        1624.41        61.3415        22.5106        3.72461        12.4233                 NaN            NaN            NaN            NaN            NaN
  13.0000        72397.1        1628.53        61.3443        22.3147        3.79268        12.5483                 NaN            NaN            NaN            NaN            NaN
  14.0000        76272.4        1632.12        61.3474        22.0861        3.87477        12.6917                 NaN            NaN            NaN            NaN            NaN
  15.0000        80213.1        1636.24        61.3512        21.8563        3.93870        12.8538                 NaN            NaN            NaN            NaN            NaN
  16.0000        83960.9        1639.83        61.3554        21.6281        3.98904        13.0275                 NaN            NaN            NaN            NaN            NaN
  17.0000        87835.9        1643.95        61.3607        21.4036        4.00233        13.2334                 NaN            NaN            NaN            NaN            NaN
  18.0000        91647.9        1647.55        61.3669        21.1764        3.98810        13.4686                 NaN            NaN            NaN            NaN            NaN
  19.0000        95536.8        1651.66        61.3749        20.9473        3.92495        13.7528                 NaN            NaN            NaN            NaN            NaN
  20.0000        99337.8        1655.26        61.4131        20.6562                 NaN   14.0897        3.84106                 NaN            NaN            NaN            NaN
  21.0000        103248.        1659.37        61.4259        19.9429                 NaN   14.4436        4.18763                 NaN            NaN            NaN            NaN
  22.0000        107071.        1663.49        61.4398        19.3093                 NaN   14.8594        4.39149                 NaN            NaN            NaN            NaN
  23.0000        111060.        1667.08        61.4566        18.6906                 NaN   15.3863        4.46656                 NaN            NaN            NaN            NaN
  24.0000        115049.        1671.20        61.4769        18.1159                 NaN   16.0483        4.35890                 NaN            NaN            NaN            NaN
  25.0000        118872.        1674.79        61.5012        17.5739                 NaN   16.8532        4.07168                 NaN            NaN            NaN            NaN
  26.0000        122861.        1678.91        61.5341        17.0152                 NaN   17.9501        3.50060                 NaN            NaN            NaN            NaN
  27.0000        126850.        1682.50        61.5782        16.4198                 NaN   19.4219        2.58013                 NaN            NaN            NaN            NaN
  28.0000        130673.        1686.62        61.6368        15.7947                 NaN   21.3727        1.19580                 NaN            NaN            NaN            NaN
  29.0000        134581.        1690.22        41.6691        15.3751                 NaN   23.3337                 NaN   19.6221                 NaN            NaN            NaN
  30.0000        137461.        1699.52                 NaN   15.2434                 NaN   24.2731                 NaN   60.4835                 NaN            NaN            NaN
  31.0000        139213.        1711.41                 NaN   14.5635                 NaN   24.9261                 NaN   60.5104                 NaN            NaN            NaN
