node#	P(bar)	T(K)	 O	Cpx 	Opx	 Gt	C2/c	Wad 	Ring	 ca-pv	Pv
1	31471.6	1585.34	100	0	0	0	0	0	0	0	0
2	33735.7	1586.56	100	0	0	0	0	0	0	0	0
3	35232.6	1589.45	100	0	0	0	0	0	0	0	0
4	38867.9	1593.57	100	0	0	0	0	0	0	0	0
5	42697.9	1597.16	100	0	0	0	0	0	0	0	0
6	46302.1	1601.28	100	0	0	0	0	0	0	0	0
7	50131.7	1604.87	100	0	0	0	0	0	0	0	0
8	53924.2	1608.99	100	0	0	0	0	0	0	0	0
9	57528.4	1613.1	100	0	0	0	0	0	0	0	0
10	61295.2	1616.7	100	0	0	0	0	0	0	0	0
11	64993.7	1620.3	100	0	0	0	0	0	0	0	0
12	68754.7	1624.41	100	0	0	0	0	0	0	0	0
13	72397.1	1628.53	100	0	0	0	0	0	0	0	0
14	76272.4	1632.12	100	0	0	0	0	0	0	0	0
15	80213.1	1636.24	100	0	0	0	0	0	0	0	0
16	83960.9	1639.83	100	0	0	0	0	0	0	0	0
17	87835.9	1643.95	100	0	0	0	0	0	0	0	0
18	91647.9	1647.55	100	0	0	0	0	0	0	0	0
19	95536.8	1651.66	100	0	0	0	0	0	0	0	0
20	99337.8	1655.26	100	0	0	0	0	0	0	0	0
21	103248	1659.37	100	0	0	0	0	0	0	0	0
22	107071	1663.49	100	0	0	0	0	0	0	0	0
23	111060	1667.08	100	0	0	0	0	0	0	0	0
24	115049	1671.2	100	0	0	0	0	0	0	0	0
25	118872	1674.79	100	0	0	0	0	0	0	0	0
26	122861	1678.91	100	0	0	0	0	0	0	0	0
27	126850	1682.5	100	0	0	0	0	0	0	0	0
28	130673	1686.62	100	0	0	0	0	0	0	0	0
29	134581	1690.22	100	0	0	0	0	0	0	0	0
30	137461	1699.52	0	0	0	0	0	100	0	0	0
31	139213	1711.41	0	0	0	0	0	100	0	0	0
32	140965	1723.31	0	0	0	0	0	100	0	0	0
33	142764	1734.69	0	0	0	0	0	100	0	0	0
34	144744	1746.59	0	0	0	0	0	100	0	0	0
35	148613	1752.26	0	0	0	0	0	100	0	0	0
36	152763	1756.37	0	0	0	0	0	100	0	0	0
37	156913	1761.01	0	0	0	0	0	100	0	0	0
38	161244	1765.12	0	0	0	0	0	100	0	0	0
39	165394	1769.75	0	0	0	0	0	100	0	0	0
40	169725	1773.87	0	0	0	0	0	100	0	0	0
41	173943	1778.5	0	0	0	0	0	100	0	0	0
42	178017	1783.13	0	0	0	0	0	100	0	0	0
43	180747	1793.47	0	0	0	0	0	100	0	0	0
44	183094	1804.85	0	0	0	0	0	100	0	0	0
45	185497	1815.71	0	0	0	0	0	100	0	0	0
46	188828	1823.45	0	0	0	0	0	0	100	0	0
47	192903	1827.57	0	0	0	0	0	0	100	0	0
48	197228	1832.2	0	0	0	0	0	0	100	0	0
49	201337	1835.8	0	0	0	0	0	0	100	0	0
50	205485	1839.92	0	0	0	0	0	0	100	0	0
51	209770	1844.03	0	0	0	0	0	0	100	0	0
52	213932	1848.67	0	0	0	0	0	0	100	0	0
53	218111	1853.3	0	0	0	0	0	0	100	0	0
54	222480	1856.9	0	0	0	0	0	0	100	0	0
55	226848	1861.53	0	0	0	0	0	0	100	0	0
56	231011	1865.65	0	0	0	0	0	0	100	0	0
