|6.6.6
lower_data_file_v1_1.tab                                                                            
           1
node #  
   1.0000000000000000     
   1.0000000000000000     
          12
           9
node#          P(bar)         T(K)           Pv             CF             ca-pv          per            wus            Ppv           
  1.00000        275100.        1500.00        72.2375        4.13968        6.19297        16.7540       0.675885                 NaN
  2.00000        358800.        1500.00        72.3050        4.23166        6.19201        16.6547       0.616643                 NaN
  3.00000        444367.        1500.00        72.3500        4.33429        6.19038        16.5932       0.532224                 NaN
  4.00000        531700.        1500.00        72.3807        4.44423        6.18835        16.5771       0.409659                 NaN
  5.00000        620900.        1500.00        72.4039        4.55861        6.18609        16.6139       0.237458                 NaN
  6.00000        711867.        1500.00        72.4213        4.68010        6.18374        16.7093       0.556044E-002            NaN
  7.00000        804867.        1500.00        72.3924        4.82149        6.18121        16.6050                 NaN            NaN
  8.00000        900000.        1500.00        72.3554        4.96483        6.17861        16.5012                 NaN            NaN
  9.00000        997533.        1500.00        72.3108        5.11191        6.17597        16.4014                 NaN            NaN
  10.0000       0.109773E+007   1500.00        63.0279        5.33468        6.18241        16.3109                 NaN   9.14414     
  11.0000       0.120100E+007   1500.00                 NaN   5.88387        6.24847        15.2234        1.24830        71.3959     
  12.0000       0.130773E+007   1500.00                 NaN   5.70020        6.25475        16.3371                 NaN   71.7080     
