depth(km) P(bar)	T(K)	 O	Opx	Cpx 	 Gt	Wad 	Ring	Pv	fp	 ca-pv
12.34	3602	1596.36	100	0	0	0	0	0	0	0	0
45.05	13115	1613.05	100	0	0	0	0	0	0	0	0
76.29	23275.7	1631.26	100	0	0	0	0	0	0	0	0
109.01	34173.3	1650.99	100	0	0	0	0	0	0	0	0
140.24	44579.2	1669.2	100	0	0	0	0	0	0	0	0
158.48	50683.2	1679.34	100	0	0	0	0	0	0	0	0
184.01	59123.3	1692.24	100	0	0	0	0	0	0	0	0
199.47	64319.8	1699.89	100	0	0	0	0	0	0	0	0
220.55	71287	1708.65	100	0	0	0	0	0	0	0	0
253.26	82508.4	1723.82	100	0	0	0	0	0	0	0	0
287.47	94239.8	1737.48	100	0	0	0	0	0	0	0	0
321.67	106084.5	1749.62	100	0	0	0	0	0	0	0	0
355.87	118054.5	1763.28	100	0	0	0	0	0	0	0	0
388.58	129503	1775.42	100	0	0	0	0	0	0	0	0
401.11	133921.8	1780.67	100	0	0	0	0	0	0	0	0
410	136783.2	1838.98	0	0	0	0	100	0	0	0	0
416.88	139845.6	1842.19	0	0	0	0	100	0	0	0	0
449.6	152148	1855.84	0	0	0	0	100	0	0	0	0
461.11	156521.8	1863.36	0	0	0	0	100	0	0	0	0
483.8	165144	1867.98	0	0	0	0	100	0	0	0	0
501.62	171931.8	1873.63	0	0	0	0	100	0	0	0	0
512.63	176225.7	1877.22	0	0	0	0	100	0	0	0	0
520	179681.4	1881.04	0	0	0	0	0	100	0	0	0
528.44	182307.2	1922.61	0	0	0	0	0	100	0	0	0
556.7	193313	1940.82	0	0	0	0	0	100	0	0	0
590.9	206851	1954.48	0	0	0	0	0	100	0	0	0
625.1	220440	1969.65	0	0	0	0	0	100	0	0	0
640.3	226520	1973.53	0	0	0	0	0	100	0	0	0
654.12	232006.8	1979.74	0	0	0	0	0	100	0	0	0
660	236068	1985.48	0	0	0	0	0	100	0	0	0
677.13	241437.2	1962.06	0	0	0	0	0	0	100	0	0
711.33	256485.2	1971.17	0	0	0	0	0	0	100	0	0
744.04	270977.6	1986.34	0	0	0	0	0	0	100	0	0
778.25	286212.5	2001.52	0	0	0	0	0	0	100	0	0
809.48	300166	2018.21	0	0	0	0	0	0	100	0	0
