x,dry_Sarafian,200_Sarafian,450_Sarafian,dry_Hirschmann_2000,200_Hirschmann_2000,1350_adiabat,1410_adiabat
-0.0045,1179.71,1068.75,966.03,1121.59,1015.86,1351,1407.61
-0.00349,1179.84,1068.93,966.22,1121.71,1016.01,1351.01,1407.64
-0.00069,1180.2,1069.42,966.74,1122.05,1016.42,1351.05,1407.7
0.00237,1180.59,1069.96,967.3,1122.42,1016.86,1351.1,1407.77
0.00634,1181.1,1070.66,968.03,1122.89,1017.44,1351.15,1407.87
0.00701,1181.18,1070.77,968.16,1122.97,1017.54,1351.16,1407.88
0.00774,1181.28,1070.9,968.29,1123.06,1017.65,1351.17,1407.9
0.11725,1195.26,1089.98,988.51,1136.3,1034.67,1352.73,1410.44
0.20566,1206.55,1104.96,1004.77,1147.2,1049.18,1354.02,1412.38
0.27554,1215.47,1116.56,1017.55,1156.03,1060.7,1355.07,1413.8
0.29156,1217.52,1119.19,1020.46,1158.09,1063.33,1355.31,1414.11
0.3795,1228.74,1133.47,1036.35,1169.57,1077.72,1356.67,1415.71
0.38601,1229.57,1134.52,1037.52,1170.42,1078.77,1356.78,1415.82
0.38795,1229.82,1134.83,1037.87,1170.68,1079.09,1356.81,1415.85
0.48947,1242.77,1150.91,1056.15,1184.11,1095.4,1358.43,1417.46
0.51382,1245.88,1154.69,1060.57,1187.33,1099.26,1358.83,1417.83
0.52821,1247.71,1156.92,1063.2,1189.22,1101.53,1359.06,1418.04
0.56738,1252.7,1162.92,1070.37,1194.36,1107.68,1359.69,1418.6
0.68076,1267.13,1179.87,1090.24,1208.95,1125.1,1361.51,1420.19
0.73805,1274.41,1188.22,1099.78,1216.16,1133.63,1362.41,1420.98
0.84517,1287.98,1203.54,1117.12,1229.43,1149.05,1364.04,1422.48
0.87763,1292.08,1208.13,1122.3,1233.4,1153.58,1364.52,1422.95
0.88348,1292.81,1208.95,1123.23,1234.12,1154.4,1364.6,1423.04
0.88611,1293.15,1209.32,1123.65,1234.44,1154.76,1364.64,1423.08
0.89846,1294.7,1211.05,1125.61,1235.94,1156.47,1364.81,1423.26
0.94141,1300.11,1217.07,1132.42,1241.17,1162.35,1365.41,1423.9
1.16353,1327.81,1247.89,1167.17,1268.11,1192.44,1368.21,1427.41
1.20218,1332.55,1253.25,1173.15,1272.81,1197.8,1368.67,1428.03
1.21766,1334.45,1255.4,1175.54,1274.69,1199.96,1368.86,1428.27
1.29171,1343.44,1265.7,1186.94,1283.69,1210.44,1369.74,1429.43
1.29906,1344.33,1266.73,1188.07,1284.59,1211.49,1369.83,1429.55
1.35639,1351.19,1274.74,1196.86,1291.53,1219.7,1370.52,1430.42
1.3638,1352.07,1275.78,1197.99,1292.43,1220.76,1370.61,1430.53
1.52826,1371.32,1298.87,1223.05,1312.09,1244.08,1372.66,1432.87
1.5724,1376.41,1305.08,1229.76,1317.28,1250.11,1373.23,1433.47
1.69777,1390.76,1322.68,1248.8,1331.68,1266.5,1374.86,1435.14
1.73015,1394.45,1327.2,1253.72,1335.33,1270.65,1375.29,1435.56
1.73758,1395.3,1328.24,1254.85,1336.16,1271.6,1375.38,1435.66
1.77953,1400.07,1334.07,1261.22,1340.83,1276.98,1375.95,1436.21
1.88038,1411.52,1347.82,1276.49,1351.91,1290.06,1377.33,1437.5
1.93755,1417.98,1355.4,1285.09,1358.12,1297.5,1378.13,1438.24
1.98135,1422.92,1361.11,1291.63,1362.84,1303.19,1378.76,1438.81
2.06596,1432.41,1371.97,1304.14,1371.92,1314.11,1380.02,1439.92
2.0979,1435.98,1376.04,1308.8,1375.32,1318.2,1380.51,1440.34
2.2071,1448.12,1389.86,1324.44,1386.89,1332.01,1382.21,1441.86
2.23247,1450.92,1393.06,1328,1389.56,1335.18,1382.61,1442.24
2.35602,1464.44,1408.49,1344.96,1402.53,1350.49,1384.54,1444.25
2.41631,1470.95,1415.95,1353.07,1408.94,1357.89,1385.44,1445.43
2.42875,1472.29,1417.48,1354.74,1410.27,1359.42,1385.62,1445.7
2.44607,1474.14,1419.6,1357.05,1412.14,1361.54,1385.87,1446.08
2.47121,1476.82,1422.67,1360.39,1414.85,1364.62,1386.23,1446.66
2.54965,1485.09,1432.1,1370.81,1423.39,1374.19,1387.3,1448.55
2.63206,1493.64,1441.56,1381.83,1432.39,1384.2,1388.38,1450.32
2.6456,1495.03,1443.05,1383.67,1433.86,1385.84,1388.56,1450.58
2.7237,1502.99,1451.47,1394.44,1442.33,1395.21,1389.55,1451.87
2.7325,1503.88,1452.59,1395.65,1443.28,1396.25,1389.66,1452.01
2.80827,1511.5,1463.12,1405.08,1451.36,1404.63,1390.61,1453.09
2.83474,1514.14,1465.35,1407.31,1454.11,1406.8,1390.93,1453.44
2.85402,1516.06,1466.39,1408.26,1456.09,1407.95,1391.17,1453.7
2.85944,1516.6,1466.61,1408.41,1456.64,1408.21,1391.24,1453.77
2.99148,1529.67,1468.05,1399.09,1469.15,1411.34,1392.85,1455.44
2.99627,1530.14,1468.04,1398.51,1469.57,1411.4,1392.91,1455.5
2.99825,1530.33,1468.04,1398.28,1469.75,1411.43,1392.93,1455.53
2.99863,1530.37,1468.04,1398.23,1469.78,1411.44,1392.94,1455.53
2.99968,1530.48,1468.04,1398.1,1469.88,1411.45,1392.95,1455.54
2.99979,1530.49,1468.04,1398.09,1469.89,1411.45,1392.95,1455.54
3.00789,1531.29,1468.02,1397.13,1470.6,1411.57,1393.05,1455.65
