node#	P(bar)	T(K)	O	Cpx	Opx	Gt	C2/c	Wad	sp	Pl	
1	768.75	1500	64.5717	5.83458	17.872	0	0	0	0	11.7217	
2	2252.5	1500	64.3177	7.27008	17.5244	0	0	0	0	10.8878	
3	3743.75	1500	63.9003	9.52691	17.0107	0	0	0	0	9.56211	
4	5222.5	1500	63.2307	12.7685	16.5139	0	0	0	0	7.48683	
5	6718.75	1500	62.1016	16.416	17.373	0	0	0	0	4.10934	
6	8256.25	1500	60.2549	20.1329	19.2024	0	0	0	0.409844	0	
7	9727.5	1500	60.2185	20.1734	19.1569	0	0	0	0.451231	0	
8	11231.2	1500	60.1823	20.211	19.1144	0	0	0	0.492295	0	
9	12697.5	1500	60.1479	20.2347	19.0863	0	0	0	0.531116	0	
10	14206.2	1500	60.1144	20.2534	19.0631	0	0	0	0.569092	0	
11	15858.1	1500	60.0771	20.2762	19.0357	0	0	0	0.611065	0	
12	17549.4	1500	60.9212	19.9	15.6616	3.5171	0	0	0	0	
13	19240.6	1500	61.0293	19.9482	13.3542	5.66827	0	0	0	0	
14	20931.9	1500	61.1042	20.0819	11.6413	7.17264	0	0	0	0	
15	22623.1	1500	61.1568	20.2726	10.3351	8.2355	0	0	0	0	
16	24314.4	1500	61.1947	20.4727	9.32837	9.0042	0	0	0	0	
17	26051.2	1500	61.2232	20.6637	8.5248	9.58826	0	0	0	0	
18	27793.8	1500	61.2446	20.8362	7.88805	10.0311	0	0	0	0	
19	29488.1	1500	61.2605	20.9772	7.39617	10.3661	0	0	0	0	
20	31179.4	1500	61.2729	21.0918	7.0033	10.6319	0	0	0	0	
21	32870.6	1500	61.2828	21.1835	6.6857	10.848	0	0	0	0	
22	34561.9	1500	61.2908	21.2531	6.42963	11.0264	0	0	0	0	
23	36253.1	1500	61.2973	21.2975	6.22995	11.1753	0	0	0	0	
24	37948.8	1500	61.3026	21.3282	6.0669	11.3023	0	0	0	0	
25	39691.2	1500	61.3071	21.3412	5.93719	11.4144	0	0	0	0	
26	41426.9	1500	61.3109	21.3343	5.84357	11.5113	0	0	0	0	
27	43118.1	1500	61.3139	21.319	5.77264	11.5944	0	0	0	0	
28	44809.4	1500	61.3165	21.2884	5.7265	11.6686	0	0	0	0	
29	46500.6	1500	61.3187	21.2503	5.69541	11.7356	0	0	0	0	
30	48203.8	1500	61.3206	21.2013	5.68094	11.7971	0	0	0	0	
31	49946.2	1500	61.3223	21.1428	5.67981	11.8551	0	0	0	0	
32	51674.4	1500	61.3237	21.0727	5.6949	11.9087	0	0	0	0	
33	53365.6	1500	61.325	21.008	5.70874	11.9583	0	0	0	0	
34	55056.9	1500	61.3261	20.9346	5.73384	12.0055	0	0	0	0	
35	56748.1	1500	61.327	20.8569	5.7652	12.0509	0	0	0	0	
36	58439.4	1500	61.3279	20.7779	5.79922	12.095	0	0	0	0	
37	60130.6	1500	61.3287	20.6914	5.84172	12.1382	0	0	0	0	
38	61843.8	1500	61.3295	20.6036	5.88542	12.1815	0	0	0	0	
39	63586.2	1500	61.3302	20.5144	5.93003	12.2254	0	0	0	0	
40	65304.4	1500	61.3309	20.4233	5.97697	12.2688	0	0	0	0	
41	66995.6	1500	61.3315	20.3331	6.02317	12.3122	0	0	0	0	
42	68686.9	1500	61.3322	20.2427	6.06886	12.3562	0	0	0	0	
43	70378.1	1500	61.3329	20.1516	6.11417	12.4014	0	0	0	0	
44	72098.8	1500	61.3336	20.0604	6.15734	12.4487	0	0	0	0	
45	73841.2	1500	61.3344	19.9672	6.20002	12.4984	0	0	0	0	
46	75583.8	1500	61.3352	19.8735	6.24121	12.5502	0	0	0	0	
47	77326.2	1500	61.336	19.7808	6.27895	12.6043	0	0	0	0	
48	79103.1	1500	61.337	19.6877	6.31302	12.6623	0	0	0	0	
49	80896.9	1500	61.3381	19.5951	6.34258	12.7243	0	0	0	0	
50	82653.8	1500	61.3392	19.5042	6.36809	12.7885	0	0	0	0	
51	84396.3	1500	61.3405	19.415	6.38822	12.8563	0	0	0	0	
52	86138.8	1500	61.3419	19.3265	6.40287	12.9287	0	0	0	0	
