node#	P(bar)	T(K)	 O	Cpx 	Opx	 Gt	C2/c	Wad 	Ring	 ca-pv	Pv
1	3602	1596.36	100	0	0	0	0	0	0	0	0
2	13115	1613.05	100	0	0	0	0	0	0	0	0
3	23275.7	1631.26	100	0	0	0	0	0	0	0	0
4	34173.3	1650.99	100	0	0	0	0	0	0	0	0
5	44579.2	1669.2	100	0	0	0	0	0	0	0	0
6	50683.2	1679.34	100	0	0	0	0	0	0	0	0
7	59123.3	1692.24	100	0	0	0	0	0	0	0	0
8	64319.8	1699.89	100	0	0	0	0	0	0	0	0
9	71287	1708.65	100	0	0	0	0	0	0	0	0
10	82508.4	1723.82	100	0	0	0	0	0	0	0	0
11	94239.8	1737.48	100	0	0	0	0	0	0	0	0
12	106084.5	1749.62	100	0	0	0	0	0	0	0	0
13	118054.5	1763.28	100	0	0	0	0	0	0	0	0
14	129503	1775.42	100	0	0	0	0	0	0	0	0
15	133921.8	1780.67	100	0	0	0	0	0	0	0	0
16	136783.2	1838.98	0	0	0	0	0	100	0	0	0
17	139845.6	1842.19	0	0	0	0	0	100	0	0	0
18	152148	1855.84	0	0	0	0	0	100	0	0	0
19	156521.8	1863.36	0	0	0	0	0	100	0	0	0
20	165144	1867.98	0	0	0	0	0	100	0	0	0
21	171931.8	1873.63	0	0	0	0	0	100	0	0	0
22	176225.7	1877.22	0	0	0	0	0	100	0	0	0
23	179681.4	1881.04	0	0	0	0	0	0	100	0	0
24	182307.2	1922.61	0	0	0	0	0	0	100	0	0
25	193313	1940.82	0	0	0	0	0	0	100	0	0
26	206851	1954.48	0	0	0	0	0	0	100	0	0
27	220440	1969.65	0	0	0	0	0	0	100	0	0
28	226520	1973.53	0	0	0	0	0	0	100	0	0
29	232006.8	1979.74	0	0	0	0	0	0	100	0	0
30	236068	1985.48	0	0	0	0	0	0	0	0	100
31	241437.2	1962.06	0	0	0	0	0	0	0	0	100
32	256485.2	1971.17	0	0	0	0	0	0	0	0	100
33	270977.6	1986.34	0	0	0	0	0	0	0	0	100
34	286212.5	2001.52	0	0	0	0	0	0	0	0	100
35	300166	2018.21	0	0	0	0	0	0	0	0	100
