node#	P(bar)	T(K)	 O	Cpx 	Opx	 Gt	C2/c	Wad 	Ring	 ca-pv	Pv
1	3602	1296.36	100	0	0	0	0	0	0	0	0
2	13115	1313.05	100	0	0	0	0	0	0	0	0
3	23275.7	1331.26	100	0	0	0	0	0	0	0	0
4	34173.3	1350.99	100	0	0	0	0	0	0	0	0
5	44579.2	1369.2	100	0	0	0	0	0	0	0	0
6	50683.2	1379.34	100	0	0	0	0	0	0	0	0
7	59123.3	1392.24	100	0	0	0	0	0	0	0	0
8	64319.8	1399.89	100	0	0	0	0	0	0	0	0
9	71287	1408.65	100	0	0	0	0	0	0	0	0
10	82508.4	1423.82	100	0	0	0	0	0	0	0	0
11	94239.8	1437.48	100	0	0	0	0	0	0	0	0
12	106084.5	1449.62	100	0	0	0	0	0	0	0	0
13	118054.5	1463.28	100	0	0	0	0	0	0	0	0
14	129503	1475.42	100	0	0	0	0	0	0	0	0
15	133921.8	1480.67	100	0	0	0	0	0	0	0	0
16	136783.2	1538.98	0	0	0	0	0	100	0	0	0
17	139845.6	1542.19	0	0	0	0	0	100	0	0	0
18	152148	1555.84	0	0	0	0	0	100	0	0	0
19	156521.8	1563.36	0	0	0	0	0	100	0	0	0
20	165144	1567.98	0	0	0	0	0	100	0	0	0
21	171931.8	1573.63	0	0	0	0	0	100	0	0	0
22	176225.7	1577.22	0	0	0	0	0	100	0	0	0
23	179681.4	1581.04	0	0	0	0	0	0	100	0	0
24	182307.2	1622.61	0	0	0	0	0	0	100	0	0
25	193313	1640.82	0	0	0	0	0	0	100	0	0
26	206851	1654.48	0	0	0	0	0	0	100	0	0
27	220440	1669.65	0	0	0	0	0	0	100	0	0
28	226520	1673.53	0	0	0	0	0	0	100	0	0
29	232006.8	1679.74	0	0	0	0	0	0	100	0	0
30	236068	1685.48	0	0	0	0	0	0	0	0	100
31	241437.2	1662.06	0	0	0	0	0	0	0	0	100
32	256485.2	1671.17	0	0	0	0	0	0	0	0	100
33	270977.6	1686.34	0	0	0	0	0	0	0	0	100
34	286212.5	1701.52	0	0	0	0	0	0	0	0	100
35	300166	1718.21	0	0	0	0	0	0	0	0	100
