node#       P(bar)      T(K)        O           Cpx         Opx         sp          Gt          C2/c        Wad         Ring        st          ca-pv       Aki         Pv          CF          per         wus         Ppv         
1           7487.5      1500        60.2741     20.1101     19.2278     0.387986    0           0           0           0           0           0           0           0           0           0           0           0           
2           23468.8     1500        61.1773     20.377      9.79626     0           8.64938     0           0           0           0           0           0           0           0           0           0           0           
3           40562.5     1500        61.3091     21.341      5.88518     0           11.4647     0           0           0           0           0           0           0           0           0           0           0           
4           57593.8     1500        61.3275     20.8162     5.78332     0           12.073      0           0           0           0           0           0           0           0           0           0           0           
5           74712.5     1500        61.3347     19.9194     6.22192     0           12.524      0           0           0           0           0           0           0           0           0           0           0           
6           92337.5     1500        61.4053     18.5893     0           0           13.2276     6.77773     0           0           0           0           0           0           0           0           0           0           
7           110094      1500        61.441      16.1966     0           0           14.4061     7.95636     0           0           0           0           0           0           0           0           0           0           
8           128031      1500        61.524      14.3515     0           0           17.5332     6.59135     0           0           0           0           0           0           0           0           0           0           
1           146650      1500        0           12.0296     0           0           27.3889     0           60.5814     0           0           0           0           0           0           0           0           0           
2           165600      1500        0           5.21022     0           0           34.0364     0           52.7618     7.99152     0           0           0           0           0           0           0           0           
3           184850      1500        0           0           0           0           32.3383     0           0           65.8142     1.8475      0           0           0           0           0           0           0           
4           204500      1500        0           0           0           0           20.4313     0           0           72.5043     4.10655     2.95783     0           0           0           0           0           0           
5           224400      1500        0           0           0           0           16.6955     0           0           61.5704     0           4.15406     17.58       0           0           0           0           0           
1           275100      1500        0           0           0           0           0           0           0           0           0           6.19297     0           72.2375     4.13968     16.754      0.675885    0           
2           358800      1500        0           0           0           0           0           0           0           0           0           6.19201     0           72.305      4.23166     16.6547     0.616643    0           
3           444367      1500        0           0           0           0           0           0           0           0           0           6.19038     0           72.35       4.33429     16.5932     0.532224    0           
4           531700      1500        0           0           0           0           0           0           0           0           0           6.18835     0           72.3807     4.44423     16.5771     0.409659    0           
5           620900      1500        0           0           0           0           0           0           0           0           0           6.18609     0           72.4039     4.55861     16.6139     0.237458    0           
6           711867      1500        0           0           0           0           0           0           0           0           0           6.18374     0           72.4213     4.6801      16.7093     0.00556044  0           
7           804867      1500        0           0           0           0           0           0           0           0           0           6.18121     0           72.3924     4.82149     16.605      0           0           
8           900000      1500        0           0           0           0           0           0           0           0           0           6.17861     0           72.3554     4.96483     16.5012     0           0           
9           997533      1500        0           0           0           0           0           0           0           0           0           6.17597     0           72.3108     5.11191     16.4014     0           0           
10          1.09773e+06 1500        0           0           0           0           0           0           0           0           0           6.18241     0           63.0279     5.33468     16.3109     0           9.14414     
11          1.201e+06   1500        0           0           0           0           0           0           0           0           0           6.24847     0           0           5.88387     15.2234     1.2483      71.3959     
12          1.30773e+06 1500        0           0           0           0           0           0           0           0           0           6.25475     0           0           5.7002      16.3371     0           71.708      
